canonical_market_id,carver_instrument,globex_asset,trade_date,present_in,missing_from
gold,GOLD,GC,2021-05-31,globex,pysystemtrade
gold,GOLD,GC,2021-07-05,globex,pysystemtrade
gold,GOLD,GC,2021-09-06,globex,pysystemtrade
gold,GOLD,GC,2021-11-25,globex,pysystemtrade
gold,GOLD,GC,2022-01-17,globex,pysystemtrade
gold,GOLD,GC,2022-02-21,globex,pysystemtrade
gold,GOLD,GC,2022-05-30,globex,pysystemtrade
gold,GOLD,GC,2022-06-20,globex,pysystemtrade
gold,GOLD,GC,2022-07-04,globex,pysystemtrade
gold,GOLD,GC,2022-09-05,globex,pysystemtrade
gold,GOLD,GC,2022-11-24,globex,pysystemtrade
gold,GOLD,GC,2022-12-26,globex,pysystemtrade
gold,GOLD,GC,2023-01-02,globex,pysystemtrade
gold,GOLD,GC,2023-01-16,globex,pysystemtrade
gold,GOLD,GC,2023-02-20,globex,pysystemtrade
gold,GOLD,GC,2023-05-29,globex,pysystemtrade
gold,GOLD,GC,2023-06-19,globex,pysystemtrade
gold,GOLD,GC,2023-07-04,globex,pysystemtrade
gold,GOLD,GC,2023-09-04,globex,pysystemtrade
gold,GOLD,GC,2023-11-23,globex,pysystemtrade
gold,GOLD,GC,2023-12-25,globex,pysystemtrade
gold,GOLD,GC,2024-01-01,globex,pysystemtrade
gold,GOLD,GC,2024-01-15,globex,pysystemtrade
gold,GOLD,GC,2024-02-19,globex,pysystemtrade
silver,SILVER,SI,2021-06-30,globex,pysystemtrade
silver,SILVER,SI,2021-07-05,globex,pysystemtrade
silver,SILVER,SI,2021-09-06,globex,pysystemtrade
silver,SILVER,SI,2021-10-07,globex,pysystemtrade
silver,SILVER,SI,2021-11-25,globex,pysystemtrade
silver,SILVER,SI,2022-01-17,globex,pysystemtrade
silver,SILVER,SI,2022-02-21,globex,pysystemtrade
silver,SILVER,SI,2022-05-30,globex,pysystemtrade
silver,SILVER,SI,2022-06-20,globex,pysystemtrade
silver,SILVER,SI,2022-07-04,globex,pysystemtrade
silver,SILVER,SI,2022-09-05,globex,pysystemtrade
silver,SILVER,SI,2022-11-24,globex,pysystemtrade
silver,SILVER,SI,2022-12-26,globex,pysystemtrade
silver,SILVER,SI,2023-01-02,globex,pysystemtrade
silver,SILVER,SI,2023-01-16,globex,pysystemtrade
silver,SILVER,SI,2023-02-20,globex,pysystemtrade
silver,SILVER,SI,2023-05-29,globex,pysystemtrade
silver,SILVER,SI,2023-06-19,globex,pysystemtrade
silver,SILVER,SI,2023-09-04,globex,pysystemtrade
silver,SILVER,SI,2023-11-23,globex,pysystemtrade
silver,SILVER,SI,2023-12-25,globex,pysystemtrade
silver,SILVER,SI,2024-01-01,globex,pysystemtrade
silver,SILVER,SI,2024-01-15,globex,pysystemtrade
silver,SILVER,SI,2024-02-19,globex,pysystemtrade
us_10y,US10,ZN,2010-07-05,globex,pysystemtrade
us_10y,US10,ZN,2010-09-06,globex,pysystemtrade
us_10y,US10,ZN,2010-11-25,globex,pysystemtrade
us_10y,US10,ZN,2011-01-17,globex,pysystemtrade
us_10y,US10,ZN,2011-02-21,globex,pysystemtrade
us_10y,US10,ZN,2011-05-30,globex,pysystemtrade
us_10y,US10,ZN,2011-07-04,globex,pysystemtrade
us_10y,US10,ZN,2011-09-05,globex,pysystemtrade
us_10y,US10,ZN,2011-11-24,globex,pysystemtrade
us_10y,US10,ZN,2012-01-16,globex,pysystemtrade
us_10y,US10,ZN,2012-02-20,globex,pysystemtrade
us_10y,US10,ZN,2012-05-28,globex,pysystemtrade
us_10y,US10,ZN,2012-07-04,globex,pysystemtrade
us_10y,US10,ZN,2012-09-03,globex,pysystemtrade
us_10y,US10,ZN,2012-11-22,globex,pysystemtrade
us_10y,US10,ZN,2013-01-21,globex,pysystemtrade
us_10y,US10,ZN,2013-02-18,globex,pysystemtrade
us_10y,US10,ZN,2013-05-27,globex,pysystemtrade
us_10y,US10,ZN,2013-07-04,globex,pysystemtrade
us_10y,US10,ZN,2013-09-02,globex,pysystemtrade
us_10y,US10,ZN,2014-01-20,globex,pysystemtrade
us_10y,US10,ZN,2014-02-17,globex,pysystemtrade
us_10y,US10,ZN,2014-03-24,globex,pysystemtrade
us_10y,US10,ZN,2014-04-04,globex,pysystemtrade
us_10y,US10,ZN,2014-04-08,globex,pysystemtrade
us_10y,US10,ZN,2014-04-09,globex,pysystemtrade
us_10y,US10,ZN,2014-04-29,globex,pysystemtrade
us_10y,US10,ZN,2014-05-26,globex,pysystemtrade
us_10y,US10,ZN,2014-06-04,globex,pysystemtrade
us_10y,US10,ZN,2014-07-03,globex,pysystemtrade
us_10y,US10,ZN,2014-07-31,globex,pysystemtrade
us_10y,US10,ZN,2014-08-01,globex,pysystemtrade
us_10y,US10,ZN,2014-08-04,globex,pysystemtrade
us_10y,US10,ZN,2014-08-05,globex,pysystemtrade
us_10y,US10,ZN,2014-09-01,globex,pysystemtrade
us_10y,US10,ZN,2014-10-03,pysystemtrade,globex
us_10y,US10,ZN,2014-11-27,globex,pysystemtrade
us_10y,US10,ZN,2014-12-25,globex,pysystemtrade
us_10y,US10,ZN,2015-01-01,globex,pysystemtrade
us_10y,US10,ZN,2015-04-03,globex,pysystemtrade
us_10y,US10,ZN,2015-05-25,globex,pysystemtrade
us_10y,US10,ZN,2015-08-31,globex,pysystemtrade
us_10y,US10,ZN,2015-09-01,globex,pysystemtrade
us_10y,US10,ZN,2015-10-29,globex,pysystemtrade
us_10y,US10,ZN,2015-10-30,globex,pysystemtrade
us_10y,US10,ZN,2016-11-24,globex,pysystemtrade
us_10y,US10,ZN,2016-12-26,globex,pysystemtrade
us_10y,US10,ZN,2017-01-02,globex,pysystemtrade
us_10y,US10,ZN,2017-05-29,globex,pysystemtrade
us_10y,US10,ZN,2017-07-10,globex,pysystemtrade
us_10y,US10,ZN,2017-07-11,globex,pysystemtrade
us_10y,US10,ZN,2017-10-17,globex,pysystemtrade
us_10y,US10,ZN,2017-11-29,globex,pysystemtrade
us_10y,US10,ZN,2017-12-25,globex,pysystemtrade
us_10y,US10,ZN,2018-01-01,globex,pysystemtrade
us_10y,US10,ZN,2018-03-02,globex,pysystemtrade
us_10y,US10,ZN,2018-05-28,globex,pysystemtrade
us_10y,US10,ZN,2018-06-06,globex,pysystemtrade
us_10y,US10,ZN,2018-06-07,globex,pysystemtrade
us_10y,US10,ZN,2020-02-28,pysystemtrade,globex
us_10y,US10,ZN,2020-07-03,globex,pysystemtrade
us_10y,US10,ZN,2020-09-07,globex,pysystemtrade
us_10y,US10,ZN,2020-11-26,globex,pysystemtrade
us_10y,US10,ZN,2021-01-18,globex,pysystemtrade
us_10y,US10,ZN,2021-02-15,globex,pysystemtrade
us_10y,US10,ZN,2021-04-02,globex,pysystemtrade
us_10y,US10,ZN,2021-05-31,globex,pysystemtrade
us_10y,US10,ZN,2021-07-05,globex,pysystemtrade
us_10y,US10,ZN,2021-09-06,globex,pysystemtrade
us_10y,US10,ZN,2021-11-25,globex,pysystemtrade
us_10y,US10,ZN,2022-01-17,globex,pysystemtrade
us_10y,US10,ZN,2022-02-21,globex,pysystemtrade
us_10y,US10,ZN,2022-05-30,globex,pysystemtrade
us_10y,US10,ZN,2022-06-20,globex,pysystemtrade
us_10y,US10,ZN,2022-07-04,globex,pysystemtrade
us_10y,US10,ZN,2022-09-05,globex,pysystemtrade
us_10y,US10,ZN,2022-11-24,globex,pysystemtrade
us_10y,US10,ZN,2022-12-26,globex,pysystemtrade
us_10y,US10,ZN,2023-01-02,globex,pysystemtrade
us_10y,US10,ZN,2023-01-16,globex,pysystemtrade
us_10y,US10,ZN,2023-02-20,globex,pysystemtrade
us_10y,US10,ZN,2023-04-07,globex,pysystemtrade
us_10y,US10,ZN,2023-05-29,globex,pysystemtrade
us_10y,US10,ZN,2023-06-19,globex,pysystemtrade
us_10y,US10,ZN,2023-07-04,globex,pysystemtrade
us_10y,US10,ZN,2023-09-04,globex,pysystemtrade
us_10y,US10,ZN,2023-11-23,globex,pysystemtrade
us_10y,US10,ZN,2023-12-25,globex,pysystemtrade
us_10y,US10,ZN,2024-01-01,globex,pysystemtrade
us_10y,US10,ZN,2024-01-15,globex,pysystemtrade
us_10y,US10,ZN,2024-02-19,globex,pysystemtrade
us_2y,US2,ZT,2010-07-05,globex,pysystemtrade
us_2y,US2,ZT,2010-09-06,globex,pysystemtrade
us_2y,US2,ZT,2010-09-08,globex,pysystemtrade
