asset,yr,n_days,avg_spread,avg_pct_spread,pct_days_backwardated
ZL,2014,251,-0.15940239043824686,-0.42719813949376495,6.374501992031872
ZL,2015,252,-0.17055555555555552,-0.5644252062568413,1.984126984126984
ZL,2016,252,-0.19916666666666666,-0.6015099502463195,2.380952380952381
ZL,2017,251,-0.1807968127490038,-0.539894083019142,1.1952191235059761
ZL,2018,253,-0.18833992094861668,-0.6278952100932312,1.9762845849802373
ZL,2019,252,-0.20738095238095255,-0.7001786183257585,3.571428571428571
ZL,2020,252,-0.03416666666666665,-0.20989005218573567,38.095238095238095
ZL,2021,252,1.3473809523809517,2.313212155294054,86.11111111111111
ZL,2022,251,2.1514342629482064,3.0547592962130232,88.84462151394422
ZL,2023,250,0.7817600000000007,1.2781236380091905,59.199999999999996
ZL,2024,252,-0.11007936507936514,-0.21435519447139334,32.142857142857146
ZL,2025,251,-0.3170916334661351,-0.66662285037613,14.741035856573706
ZL,2026,116,0.32991379310344837,0.3724313755351874,57.758620689655174
ZS,2010,168,2.25,0.3281065459839406,41.07142857142857
ZS,2011,286,-5.551573426573427,-0.42861500422232535,23.776223776223777
ZS,2012,293,8.24061433447099,0.5179235669581164,54.94880546075085
ZS,2013,263,43.29277566539924,3.1664702193522363,93.91634980988593
ZS,2014,251,31.42828685258964,2.6078714154855382,69.32270916334662
ZS,2015,252,3.615079365079365,0.38659979562001273,43.65079365079365
ZS,2016,252,-0.8482142857142857,-0.09057561986807376,34.92063492063492
ZS,2017,251,-8.26394422310757,-0.8352874383605529,0.796812749003984
ZS,2018,253,-9.888339920948617,-1.0598590153224796,0.7905138339920948
ZS,2019,252,-11.295634920634921,-1.2503169786300898,0.3968253968253968
ZS,2020,252,-2.8343253968253967,-0.3061446107534504,25.0
ZS,2021,252,12.079365079365079,0.824937247754977,62.698412698412696
ZS,2022,251,35.77589641434263,2.3665853366067835,57.37051792828686
ZS,2023,250,18.438,1.3241673409887396,62.8
ZS,2024,252,-3.7450396825396823,-0.3339699353104018,24.6031746031746
ZS,2025,251,-10.23804780876494,-0.972543538016128,13.94422310756972
ZS,2026,116,-11.883620689655173,-1.0322223956751315,6.0344827586206895
ZW,2010,168,-30.107142857142858,-4.369299066277202,0.0
